DefendantAddressLine1,numberperaddress
6363 WEST AIRPORT BLVD,105
8100 STONE,84
700 DUNSON GLEN DR,80
601 CYPRESS STATION DR,72
695 NORMANDY ST,70
9555 CROFTON,67
90 UVALDE RD,63
505 CYPRESS STATION DRIVE,63
910 CYPRESS STATION,61
2600 WESTHOLLOW DRIVE,57
550 NORMANDY,54
2101 HAYES RD,53
2431 FM 1960 W RD,52
9603 HOMESTEAD RD,51
9001 JONES ROAD,51
8801 GLENCREST,48
9465 CLEARWOOD DR,47
9450 WOODFAIR DR,46
905 CYPRESS STATION,46
7950 BELLFORT,44
5621 ALDINE BENDER,44
8601 BROADWAY ST,41
7373 N WAYSIDE DR,41
8750 POINT PARK DR,40
6363 WEST AIRPORT BLVD.,40
3125 CRESTDALE DR,40
9390 FM 1960 BYPASS RD W,39
5401 CHIMNEY ROCK RD,39
9802 FORUM PARK DR.,38
7900 MORLEY ST,38
2801 WALNUT BEND LN,37
6565 HOLLISTER,36
2840 SHADOWBRIAR DR,36
21550 PROVINCIAL BLVD,36
8727 POINT PARK DR,35
311 HIGHLAND CROSS DR,34
2500 E JAMES ST,34
2431 FM 1960 RD WEST,34
855 GREENS RD,33
5915 UVALDE RD,33
5619 ALDINE BENDER,33
3131 HAYES RD,33
2800 HIRSCHFIELD ROAD,33
8751 BROADWAY ST,32
6425 WESTHEIMER RD,31
501 GREENS RD,31
20430 IMPERIAL VALLEY DR,31
7825 CORPORATE DR,30
525 SEMINAR DR,30
2402 BAMMELWOOD DR,30
210 WELLS FARGO DR,30
5610 ROYAL PALMS,29
300 NORTH VISTA DR,29
9001 JONES RD,28
611 W CAVALCADE STREET,28
5350 W GULF BANK,28
505 CYPRESS STATION DR,28
8900 GLENCREST,27
6220 FM 2920,27
6060 GREENS RD,27
5301 N SAM HOUSTON PKWY E,27
3030 HIRSCHFIELD RD,27
3000 WOODLAND PARK DR,27
2331 BAMMELWOOD DR,27
8100 CYPRESSWOOD DR,26
6200 W TIDWELL RD,26
6200 GREENS RD,26
5625 ANTOINE DR,26
555 SEMINAR DR,26
301 W LITTLE YORK,26
2800 HIRSCHFIELD RD,26
8955 BROADWAY ST,25
5800 HOLLISTER,25
2901 FULTON ST,25
2502 WEBSTER ST,25
2431 FM 1960 WEST,25
24215 KUYKENDAHL RD,25
200 DOMINION PARK DR,25
990 CYPRESS STATION,24
9001 S. BRAESWOOD BLVD,24
8950 GLENCREST,24
7055 HOLLISTER ST,24
3939 SYNOTT,24
3322 YELLOWSTONE BLVD.,24
2600 WESTHOLLOW DR,24
5555 ANTOINE DR,23
535 SEMINAR DR,23
5110 AZALEA TRACE DR,23
2828 HAYES RD,23
2475 GRAY FALLS DR,23
8700 GUSTINE LANE,22
6111 NUECES PARK RD,22
3600 SOUTH SHAVER,22
301 W. LITTLE YORK,22
230 ATASCOCITA ROAD,22
9393 TIDWELL,21
8750 BROADWAY ST,21
8501 BROADWAY ST,21
8400 BROADWAY,21
3233 WINDCHASE BLVD,21
2901 FULTON STREET,21
2205 HAYES RD,21
2101 HAYES,21
9125 HWY 6 NORTH,20
7600 CREEKBEND DR,20
