DefendantAddressZIP1,number of evictions
77090,1378
77060,1217
77082,1029
77036,793
77014,666
77061,656
77015,651
77077,637
77042,605
77021,598
77084,588
77073,585
77035,580
77067,551
77449,532
77099,522
77004,488
77396,458
77521,452
77081,450
77034,437
77065,436
77088,434
77373,432
77063,427
77040,424
77016,400
77338,399
77072,398
77095,393
77026,391
77057,389
77074,374
77091,368
77520,353
77096,343
77089,334
77092,327
77044,318
77071,316
77506,311
77375,309
77058,307
77054,298
77502,291
77033,289
77598,285
77032,284
77064,274
77047,266
77070,265
77429,250
77051,248
77083,246
77080,240
77075,237
77020,231
77379,230
77093,230
77433,229
77028,224
77068,223
77450,219
77571,217
77056,212
77045,211
77530,208
77048,198
77069,195
77055,194
77031,191
77076,191
77503,189
77504,181
77009,175
77078,174
77017,173
77087,172
77018,171
77049,171
77066,167
77013,162
77346,147
77039,140
77022,138
77086,134
77003,133
77336,129
77023,128
77027,125
77038,122
77079,118
77494,118
77505,111
77025,109
77587,106
77062,102
77002,101
77043,99
77041,92
77053,89
77011,86
77532,81
77012,75
77562,75
77388,74
77006,73
77536,72
77024,71
77029,70
77546,70
77339,69
77007,67
77085,67
77037,66
77493,66
77586,65
77019,61
77098,53
77389,53
77008,51
77377,44
77005,30
77477,23
77547,22
77030,19
77447,19
77050,18
77345,16
77523,12
77010,12
77489,7
77094,7
77401,6
77046,6
77059,6
77484,4
77581,3
77573,2
77459,2
77386,2
77498,2
78401,1
77507,1
77381,1
77255,1
78701,1
77868,1
76016,1
77402,1
77380,1
77589,1
77471,1
77289,1
77549,1
77352,1
70015,1
77478,1
77539,1
77443,1
